n,p,v
保護,に,尽力
部分,を,映し出す
ubuntu,に,語る
精神,を,体現
講演,を,捧げる
元大統領,に,捧げる
独学,で,なる
者,に,なる
代わり,に,する
ロボット,を,する
者,に,する
力,を,合わせる
オープンソース,で,作り上げる
探査機,を,作り上げる
トーク,で,語る
以内,に,再犯
イギリス,で,逆戻り
刑務所,に,逆戻り
復帰,を,支援
成果,を,上げる
政府,に,ある
アイデア,に,話す
お金,を,使う
解決,に,取り組む
利子,を,付ける
投資家,に,払い戻す
資金,を,払い戻す
世界,に,誘う
私たち,を,誘う
スープ,を,作る
謎,を,紐解く
結果,に,辿り着く
前,で,起きる
流れ,を,捉える
そこ,から,引き出す
意味,を,引き出す
ため,に,なる
トーク,で,語る
限界,に,語る
前,で,起きる
意味,を,把握
季節,に,失う
道路,を,失う
仕組み,で,助ける
人々,を,助ける
システム,を,作る
体,を,使う
必要,と,する
人,へ,届ける
必需品,を,届ける
システム,を,紹介
ため,に,デザイン
都市,を,デザイン
街,に,なる
年,に,失明
盲目,に,なる
前,と,なる
街,を,比較
後,で,比較
生活,を,する
生活,を,する
実際,に,語る
もの,を,語る
人,を,思う
放課後,に,楽しむ
趣味,を,楽しむ
彼,を,惹く
弓作り,に,惹く
様子,を,堪能
チェルノブイリ,で,起きる
区域,に,なる
そこ,に,暮らす
命令,を,拒否
放射線,で,かなう
力,に,なる
チェルノブイリ,に,住む
マンハッタン,に,住む
小説家,と,浮かぶ
彼女,に,浮かぶ
デジタル,で,つながる
衝動,に,とらわれる
リアル,を,見落とす
今,を,生きる
問題,を,通す
私達,に,話しかける
状態,で,存在
原子,で,成る
魅力,で,語る
理由,を,語る
私たち,を,駆り立てる
これ,を,楽しむ
フィクション,を,除く
語り口,で,めくる
ページ,を,めくる
探求,と,変わる
嫉妬,と,教える
こと,を,教える
成長,を,遂げる
今,に,成長
主張,を,展開
世界中,から,集まる
指標,を,ひも
成長,を,迎える
屋上,に,取り付ける
ハワード,に,なる
顧客,を,する
対象,に,する
もの,から,販売
もの,を,販売
トーク,で,紹介
試み,を,紹介
企業,へ,提示
誰,を,やる
訛り,を,駆使
パフォーマンス,を,繰り広げる
レベル,で,考える
あなた,に,挑む
共,に,送る
リー,に,触発
中心,に,建つ
前,から,移り住む
ビル,に,移り住む
ナイジェリア,に,ある
村,を,案内
場所,に,建てる
家,を,建てる
建てる,を,教える
環境,で,生活
家,を,作れる
こと,を,物語る
人生,を,生きる
共,に,生きる
命,を,奪う
愛,を,込める
最後,に,持つ
希望,を,持つ
こと,に,語る
理由,を,語る
死,に,向かう
郊外化,に,伴う
排気ガス,を,吐き出す
効率,で,脅かす
生命,を,脅かす
町づくり,で,訴える
解放,を,訴える
年,に,渡る
アフリカ,に,戦う
伝染病,と,戦う
アメリカ,に,帰国
死,から,逃れる
暴力,に,向ける
目,を,向ける
こと,に,気付く
暴力,を,受け入れる
こと,に,直面
こと,に,直面
影響,を,食い止める
こと,を,適用
暴力,に,適用
暴力,を,捉える
伝染病,と,捉える
宿命,と,言える
関係,に,ある
裏側,に,潜む
情報,を,織り込む
未来,に,もたらす
平和,を,もたらす
可能性,に,語る
現職,に,任命
行政区,に,形成
様子,を,形成
成功,を,収める
講演,で,紹介
舞台裏,に,紹介
最後,に,登場
ゲスト,に,注目
年,で,移行
社会,へ,移行
お金,を,持つ
もの,に,なる
教育,を,受ける
政治的,を,利用
例,と,ある
議論,を,通す
問題,を,提起
売り,に,出す
市場,に,託す
生活,を,託す
可能性,を,秘める
歩,から,飛躍
時代,へ,飛躍
時代,と,飛躍
革新,で,解決
課題,に,注目
核心,に,触れる
テクノロジー,を,使う
問題,を,解決
科学,から,光る
アート,を,生み出す
こと,を,試みる
音波,と,戯れる
様子,を,捉える
講演,で,紹介
写真,を,紹介
絵の具,を,混ぜる
ウィスキー,に,点火
とき,に,起こる
ライブデモ,で,期待
現象,に,期待
プロフィール,に,引き寄せる
シート,を,作る
人生,を,変える
法,を,楽しむ
デート,を,攻略
トラジャ,で,結びつける
人々,を,結びつける
地域,で,なる
中心,と,なる
年,に,渡る
遺体,を,世話
文化,に,注目
感覚,から,感ずる
これ,が,反映
事実,を,反映
強者,を,倒す
武器,と,言う
ゴリアテ,を,倒す
聖書,を,通す
勝利,を,表す
文句,に,なる
パーティー,に,くり出す
自信,に,満ちる
講演,で,救う
命,を,救う
ある夜,に,告白
うつ病,を,わずらう
世界,を,構築
信頼,を,回復
こと,を,する
耳,に,する
何,を,意味
視点,を,変える
見解,を,提示
信頼,に,理解
研究,を,する
事実,と,違う
形,で,残る
一般,に,考える
統計,を,紹介
倫理的,を,提示
年,に,提供
人口,に,提供
皮革,を,提供
動物,を,飼育
数,を,飼育
負荷,を,かける
重要性,を,提唱
皮革,を,作り出す
培養,に,作り出す
ハンドバック,を,求める
動物,を,殺す
時代,を,葬り去る
過去,に,葬り去る
トーク,で,主張
目,を,開く
動物,を,殺す
記録,に,適用
アルゴリズム,を,適用
地図,を,示す
私たち,に,示す
繋がる,を,示す
コロニー,に,生きる
中,で,生きる
一斉,に,死滅
結果,を,生む
理由,を,する
1,を,受粉
私達,を,映す
鏡,と,なる
口座情報,を,盗む
ウイルス,に,感染
私たち,を,監視
人,を,信じる
人間性,と,悪用
人間性,を,悪用
あなた,に,できる
時計,を,盗みとる
反応,を,研究
料理,で,選ぶ
実演,で,選ぶ
参加者,から,選ぶ
一人,を,選ぶ
弱点,を,利用
財布,を,抜き取る
肩,に,載せる
注意,を,そらす
代,から,失う
病気,で,失う
歴史,を,ひも
撲滅,を,阻む
マラリア,を,撲滅
年,に,生まれる
後,に,なくす
視力,を,なくす
愛情,に,溢れる
コンピューター,を,利用
進化,に,なる
協力,に,なる
法律家,に,なる
世界,で,生きる
読書家,に,なる
読書,を,する
日,に,崩れ落ちる
様子,を,見る
テレビ,で,見る
以内,に,する
ニュース,を,する
耳,に,する
何処,に,いる
もの,を,映し出す
中,で,紹介
共,に,紹介
プロジェクト,を,紹介
アート,に,もたらす
息吹,を,もたらす
絵画,を,描く
キャンバス,に,描く
代わり,に,見つける
対象,を,見つける
上,に,描く
場,に,ある
絵の具,で,覆う
下,に,ある
もの,を,再現
絵の具,で,再現
結果,と,なる
講演,で,紹介
プロジェクト,を,紹介
飛躍的,を,遂げる
層,を,台頭
層,に,台頭
層,を,台頭
層,が,台頭
格差,を,狭める
トーク,で,言う
問題,を,語る
最後,に,示す
兆し,を,示す
これ,を,発見
魅力,に,語る
数,を,愛する
レバノン,で,聞こえる
宗教,に,分裂
ランニング,で,できる
つ,に,できる
国,を,信ずる
マラソン,で,築く
平和,を,築く
記憶,を,操作
研究室,で,射込む
脳,に,射込む
レーザー光線,を,射込む
方法,を,示す
内容,を,語る
理由,を,問いかける
私達,に,問いかける
サイクル,を,研究
眠り,に,知る
何,を,知る
分,を,費やす
眠り,に,費やす
トーク,で,紹介
理論,を,紹介
年齢,に,異なる
迷信,を,否定
眠り,に,知る
健康状態,を,知る
方法,を,提示
建材,を,使う
前,から,始める
実験,を,始める
被災地,で,失う
全て,を,失う
人々,を,救う
住宅,と,建てる
現地,に,溶け込む
目的,を,果たす
紙,で,出来る
仕事中,に,ある
異変,に,気づく
秘密,を,暴く
倍,に,上る
以上,に,受ける
衝撃,を,受ける
住民,に,伝える
それ,を,伝える
事実,を,知る
教訓,と,呼べる
呼び掛け,と,呼べる
話,を,通す
危険性,に,鳴らす
警鐘,を,鳴らす
声,を,あげる
人々,を,讃える
何処,から,見る
学生,と,変わる
足取り,で,通う
大学,に,通う
中,で,聞こえる
次第,に,敵対
口調,に,なる
毎日,と,なる
症,と,診断
薬漬け,と,なる
声,に,傾ける
耳,を,傾ける
事,で,回復
道のり,を,語る
私たち,に,語る
多様性,を,称賛
遺産,に,当てる
光,を,当てる
インスピレーション,を,得る
記号,を,使う
一方,で,勧める
こと,を,勧める
絵文字,に,要約
手,に,入れる
アルファベット,に,宿る
相手,を,説き伏せる
誤り,を,証明
何,より,勝つ
説明,に,見失う
議論,で,見失う
議論,を,する
音程,を,発声
同時,に,発声
こと,を,思う
声,を,ループ
マシン,を,開発
この世,に,ある
音,を,まねる
才能,を,持つ
マシン,で,作り出す
彼,に,富む
多様性,に,富む
波,に,任せる
身,を,任せる
走行中,に,送信
ポイント,を,送信
ガレージ,に,送信
フィードバック,を,受ける
システム,を,応用
他,で,応用
赤ちゃん,を,救う
演劇,に,注ぐ
情熱,を,注ぐ
とも,に,語る
人生,を,語る
さなか,に,撮影
過程,で,描く
本質,を,描く
もの,を,創り出す
なか,で,感じる
講演,で,語る
葛藤,に,語る
ありのまま,に,語る
創作,に,かける
技士,と,乗る
救急車,に,乗る
渋滞,に,巻き込む
助け,に,行く
事,に,つく
チーム,を,結成
いつ,で,放り出す
全て,を,放り出す
足,で,駆けつける
救助,へ,駆けつける
乗り物,を,駆使
患者,を,助ける
人,を,救う
もの,と,なる
デザイン,を,紹介
ニーズ,から,生まれる
自然光,を,取り入れる
スペース,を,有する
航空機,を,想像
プリンタ,から,生み出す
部品,を,使用
プリンタ,で,作る
影響,から,離れる
ウクライナ,を,離れる
アメリカ,に,移住
家族,で,滞在
硬貨,を,見つける
記憶,を,回想
それ,を,留める
心,に,留める
意味,を,伝える
間,に,生まれる
日,で,見つかる
マリオ,に,見つかる
前,に,取り組む
疑問,に,取り組む
人生,を,送れる
状況,を,転換
胸,を,打つ
病気,から,学ぶ
研究,を,擁護
主張,を,展開
反論,を,論破
原因,と,なる
意識,を,考える
生物学,と,考える
意識,を,捉える
シミュレーション,と,捉える
意見,を,否定
人間,に,共通
口,から,奏でる
分間,を,楽しむ
口,で,奏でる
バクテリア,を,探す
旅,に,出る
プラスチック,を,分解
類,を,分解
ところ,に,ある
国,を,離れる
世界中,で,増える
故国,を,持つ
こと,で,得る
静けさ,に,語る
刺激,を,得る
旅,を,計画
上,を,見る
雲,を,愛でる
写真,を,紹介
手,を,止める
空,に,ある
美,を,堪能
木々,を,渡る
ー,を,録音
年,に,録音
人間,に,変貌
様子,を,見る
環境,を,破壊
家族,を,失う
悲しみ,に,沈む
嘆き,に,学ぶ
交響曲,から,学ぶ
何,を,学ぶ
見解,を,提供
点,を,取る
塁,に,行ける
比喩,を,使う
アメリカ,で,語る
勝ち負け,を,決める
セックス,を,入れる
枠,に,入れる
喜び,を,分かち合う
共,に,分かち合う
代わり,に,提案
比喩,を,提案
状態,で,発見
早期発見,を,する
方法,を,開発
過程,を,語る
誕生日,を,迎える
方法,を,作り出す
なん,と,作り出す
前,に,作り出す
象,に,ある
インターネット,を,出来る
規模,に,出来る
アイデア,を,披露
ビル,を,建てる
コンクリート,を,する
中心,と,する
木,を,使う
興味,を,そそる
階,に,及ぶ
建物,を,建てる
こと,を,示す
トーク,で,語る
木材,を,使う
ビル,を,建てる
16,に,満つ
スクラッグス,より,生まれ育つ
ニュージャージー,に,生まれ育つ
兄弟,で,する
演奏,を,する
たち,で,する
頃,から,なる
ギター,で,入れ替わる
役,を,入れ替わる
曲,を,演奏
ニュージャージー,に,現
考え方,で,形成
社会,を,形成
党,から,成る
主義,に,なる
概念,に,チャレンジ
国家,を,導く
成功,に,導く
なか,で,語りかける
こと,を,語りかける
ロボット,に,奪う
仕事,を,奪う
協力者,と,なる
作業,から,解き放つ
こと,に,割ける
時間,を,割ける
ここ,で,紹介
目,を,動かす
腕,に,触る
そば,で,働く
家庭,で,支援
高齢者,を,支援
ロボット,に,頼る
編集部,に,舞いこむ
中,から,採用
洞察,に,満ちる
雑誌,で,務める
エディター,を,務める
図,に,描く
講演,で,話す
理由,を,話す
伝記,を,書く
こと,に,受ける
衝撃,を,受ける
啓示,を,受ける
初め,に,疑い
記述,に,持つ
経験,が,なる
基盤,と,なる
見解,を,提唱
終結,を,呼びかける
嵐,を,追う
年,に,なる
講演,で,かける
写真,を,かける
目,に,かける
嵐,を,追いかける
米国,に,住む
北朝鮮,で,経験
飢饉,に,語る
人生,を,歩む
車,を,運転
状況,に,唱える
異,を,唱える
こと,で,与える
たち,に,与える
勇気,を,与える
YouTube,に,投稿
彼女,に,起こる
車,を,運転
小説家,と,描き出す
ステージ,で,語る
手,を,離れる
ツール,が,下す
決断,を,下す
可能性,を,示す
決定,を,任せる
ロボット,に,任せる
ラボ,で,披露
デモ,を,披露
学習,を,助ける
アルゴリズム,で,解決
問題,を,解決
ボール,を,キャッチ
バランス,を,取る
デモ,で,いれる
様,を,いれる
ご覧,に,いれる
キネクト,で,操る
コプター,を,操る
仕事,を,奪う
仕事,を,奪う
未来,を,予見
仕事,を,掴む
次世代,を,教育
トーク,で,考える
avril,を,製作
無一文,で,製作
方法,に,語る
創意,に,富む
方法,を,用いる
中,で,打ち勝つ
制約,に,打ち勝つ
映画,を,製作
間,を,観察
中,で,観察
行動,を,観察
互い,に,疎通
言葉,を,使う
言葉,を,話す
実験,を,披露
言葉,を,話せる
犯罪,を,暴露
正体,を,明かす
中,から,紹介
映像,を,紹介
重要性,を,示す
身,を,示す
名前,を,さらす
刑務所,に,送り込む
利用料,を,知る
人々,を,変える
節約家,に,変える
こと,を,示す
科学,で,なる
夢,が,叶う
何,を,する
生活,に,慣れる
視野,を,広げる
道,を,作る
本,に,頼る
話,を,通す
方,を,紹介
読書,で,広がる
大地,を,踏みしめる
姿,を,見る
目前,に,迫る
革新,に,語る
動物,を,蘇る
マンモス,を,復活
ビデオゲーム,を,収蔵
年,に,発表
大騒ぎ,に,なる
話題,に,洞察
先入観,を,打ち破る
理解,を,広げる
中,で,語る
思い,を,語る
パックマン,を,収蔵
moma,に,収蔵
バイオリニスト,に,なる
うつ病,を,患う
音楽,が,立ち上がる
彼女,を,立ち上がる
コンサートホール,で,演奏
人,に,伝える
素晴らしい,を,伝える
目標,に,なる
こと,を,示す
暗闇,を,越える
アイデア,を,提示
報酬,を,支払える
ため,に,建築
キット,を,使う
人,で,建てる
どこ,で,建てる
死,に,考える
計画,を,する
日々,を,過ごせる
気持ち,で,過ごせる
思慮,に,満ちる
終わり,を,迎える
こと,を,紹介
人生,で,迎える
終わり,を,迎える
震え,に,襲う
目標,を,見失う
限界,を,受け入れる
震え,を,受け入れる
シンガー,に,聞く
バランス,を,取る
もの,を,活かす
最大限,に,活かす
実例,に,教える
方法,を,教える
主義者,に,なる
コンピュータ,を,作る
トーク,で,語る
哲学,に,語る
スクリーン,を,覗き込む
顔,を,上げる
世界,と,向き合う
コンピュータ,を,使う
ステージ,で,提唱
方,を,提唱
疑問,を,投げかける
男,と,呼ぶ
作品,で,いる
側,に,いる
背景,に,溶け込む
関心,を,呼び起こす
データ,に,仲介
世界,に,なる
それ,を,実感
自分自身,を,守る
違和感,が,守る
違和感,と,守る
違和感,から,守る
技術,に,頼る
違和感,を,感じる
物,を,届ける
若者,に,投げかける
メッセージ,を,投げかける
段階,で,起こる
計画,を,始める
人生,を,決定
アドバイス,を,贈る
それ,に,反する
もの,を,語る
講演,で,示す
谷,を,脱する
世代,を,育む
土壌,で,育む
谷,を,脱する
仕事,を,辞める
年生,に,教える
数学,を,教える
iQ,が,決める
成否,を,決める
カギ,と,なる
ここ,で,語る
理論,に,語る
弾き語り,を,する
歌詞,に,込める
心,を,出す
虹色,に,輝く
前,と,変わる
計画,に,しがみつく
データ,を,活用
変革,を,提唱
能力,を,伸ばせる
詩,を,披露
学校,に,押し寄せる
家,で,育つ
入り,を,繰り返す
親,を,持つ
ロサンジェルス,で,育つ
教師,に,見捨てる
後,に,なる
教師,に,なる
学校,を,築く
達,に,する
話,を,する
生死,に,かかわる
状況,を,経験
教育,から,抜け出す
好奇心,を,育てる
こと,を,理解
学び,を,輝く
仕組み,に,輝く
目,を,輝く
ルール,を,紹介
学び,を,輝く
フィードバック,に,改善
教師,で,ある
フィードバック,を,もたらす
教室,に,もたらす
プロジェクト,を,紹介
フィードバック,で,もたらせる
中国語,を,話せる
方,を,学ぶ
背景,に,ある
レッスン,を,理解
考え,を,理解
文字,から,組み立てる
概念,を,組み立てる
方法,を,教える
chineasy,と,呼ぶ
ピアソン,に,言う
中,で,いる
子ども,を,なる
人,から,学ぶ
それ,に,反論
教育者,に,向ける
たち,を,信ずる
たち,と,持つ
実際,に,持つ
つながり,を,持つ
大切,を,語る
生涯,で,なる
代わり,に,なれる
